state_id,state_name
1,"Andaman & Nicobar Islands"
2,"Andhra Pradesh"
3,"Arunachal Pradesh"
4,Assam
5,Bihar
6,Chandigarh
7,Chhattisgarh
8,"Dadra & Nagar Haveli"
9,"Daman & Diu"
10,Goa
11,Gujarat
12,Haryana
13,"Himachal Pradesh"
14,"Jammu & Kashmir"
15,Jharkhand
16,Karnataka
17,Kerala
18,Lakshadweep
19,"Madhya Pradesh"
20,Maharashtra
21,Manipur
22,Meghalaya
23,Mizoram
24,Nagaland
25,Orissa
26,Puducherry
27,Punjab
28,Rajasthan
29,Sikkim
30,"Tamil Nadu"
31,Tripura
32,"Uttar Pradesh"
33,Uttarakhand
34,"West Bengal"
35,Delhi
36,"Outside India"
37,Telangana
